date,state,district,type,beds
1/1/2022,Sarawak,Marudi,special_medical_institution,0
1/1/2022,Sarawak,Matu,hospital_moh,0
1/1/2022,Sarawak,Matu,hospital_non_moh,0
1/1/2022,Sarawak,Matu,special_medical_institution,0
1/1/2022,Sarawak,Meradong,hospital_moh,0
1/1/2022,Sarawak,Meradong,hospital_non_moh,0
1/1/2022,Sarawak,Meradong,special_medical_institution,0
1/1/2022,Sarawak,Miri,hospital_moh,349
1/1/2022,Sarawak,Miri,hospital_non_moh,0
1/1/2022,Sarawak,Miri,special_medical_institution,0
1/1/2022,Sarawak,Mukah,hospital_moh,80
1/1/2022,Sarawak,Mukah,hospital_non_moh,0
1/1/2022,Sarawak,Mukah,special_medical_institution,0
1/1/2022,Sarawak,Pakan,hospital_moh,0
1/1/2022,Sarawak,Pakan,hospital_non_moh,0
1/1/2022,Sarawak,Pakan,special_medical_institution,0
1/1/2022,Sarawak,Pusa,hospital_moh,0
1/1/2022,Sarawak,Pusa,hospital_non_moh,0
1/1/2022,Sarawak,Pusa,special_medical_institution,0
1/1/2022,Sarawak,Samarahan,hospital_moh,0
1/1/2022,Sarawak,Samarahan,hospital_non_moh,0
1/1/2022,Sarawak,Samarahan,special_medical_institution,128
1/1/2022,Sarawak,Saratok,hospital_moh,106
1/1/2022,Sarawak,Saratok,hospital_non_moh,0
1/1/2022,Sarawak,Saratok,special_medical_institution,0
1/1/2022,Sarawak,Sarikei,hospital_moh,212
1/1/2022,Sarawak,Sarikei,hospital_non_moh,0
1/1/2022,Sarawak,Sarikei,special_medical_institution,0
1/1/2022,Sarawak,Sebauh,hospital_moh,0
1/1/2022,Sarawak,Sebauh,hospital_non_moh,0
1/1/2022,Sarawak,Sebauh,special_medical_institution,0
1/1/2022,Sarawak,Selangau,hospital_moh,0
1/1/2022,Sarawak,Selangau,hospital_non_moh,0
1/1/2022,Sarawak,Selangau,special_medical_institution,0
1/1/2022,Sarawak,Serian,hospital_moh,84
