state,district,date,sex,age,population
Johor,Johor Bahru,1/1/2022,male,45-49,21.2
Johor,Johor Bahru,1/1/2022,male,45-49,4.7
Johor,Johor Bahru,1/1/2022,male,45-49,0.6
Johor,Johor Bahru,1/1/2022,male,45-49,4
Johor,Johor Bahru,1/1/2022,male,50-54,46.3
Johor,Johor Bahru,1/1/2022,male,50-54,19.2
Johor,Johor Bahru,1/1/2022,male,50-54,0.7
Johor,Johor Bahru,1/1/2022,male,50-54,19.6
Johor,Johor Bahru,1/1/2022,male,50-54,3.9
Johor,Johor Bahru,1/1/2022,male,50-54,0.2
Johor,Johor Bahru,1/1/2022,male,50-54,2.7
Johor,Johor Bahru,1/1/2022,male,55-59,42.5
Johor,Johor Bahru,1/1/2022,male,55-59,17.8
Johor,Johor Bahru,1/1/2022,male,55-59,0.5
Johor,Johor Bahru,1/1/2022,male,55-59,18.3
Johor,Johor Bahru,1/1/2022,male,55-59,3.6
Johor,Johor Bahru,1/1/2022,male,55-59,0.1
Johor,Johor Bahru,1/1/2022,male,55-59,2.1
Johor,Johor Bahru,1/1/2022,male,60-64,35.5
Johor,Johor Bahru,1/1/2022,male,60-64,15.2
Johor,Johor Bahru,1/1/2022,male,60-64,0.4
Johor,Johor Bahru,1/1/2022,male,60-64,15.7
Johor,Johor Bahru,1/1/2022,male,60-64,2.7
Johor,Johor Bahru,1/1/2022,male,60-64,0.2
Johor,Johor Bahru,1/1/2022,male,60-64,1.3
Johor,Johor Bahru,1/1/2022,male,65-69,23.4
Johor,Johor Bahru,1/1/2022,male,65-69,10.2
Johor,Johor Bahru,1/1/2022,male,65-69,0.3
Johor,Johor Bahru,1/1/2022,male,65-69,9.3
Johor,Johor Bahru,1/1/2022,male,65-69,1.8
Johor,Johor Bahru,1/1/2022,male,65-69,0.3
Johor,Johor Bahru,1/1/2022,male,65-69,1.5
Johor,Johor Bahru,1/1/2022,male,70-74,14.5
Johor,Johor Bahru,1/1/2022,male,70-74,6.8
Johor,Johor Bahru,1/1/2022,male,70-74,0.2
Johor,Johor Bahru,1/1/2022,male,70-74,5.3
Johor,Johor Bahru,1/1/2022,male,70-74,1.1
Johor,Johor Bahru,1/1/2022,male,70-74,0.1
Johor,Johor Bahru,1/1/2022,male,70-74,1
Johor,Johor Bahru,1/1/2022,male,75-79,8.7
Johor,Johor Bahru,1/1/2022,male,75-79,3.8
Johor,Johor Bahru,1/1/2022,male,75-79,0.2
