state,district,date,sex,age,ethnicity,population
Johor,Tangkak,1/1/2022,female,60-64,overall,3.5
Johor,Tangkak,1/1/2022,female,65-69,overall,2.5
Johor,Tangkak,1/1/2022,female,70-74,overall,1.5
Johor,Tangkak,1/1/2022,female,75-79,overall,0.9
Johor,Tangkak,1/1/2022,female,80-84,overall,0.5
Johor,Tangkak,1/1/2022,female,85+,overall,0.6
Johor,Tangkak,1/1/2022,male,0-4,overall,4.5
Johor,Tangkak,1/1/2022,male,5-9,overall,5.6
Johor,Tangkak,1/1/2022,male,10-14,overall,7.1
Johor,Tangkak,1/1/2022,male,15-19,overall,7.6
Johor,Tangkak,1/1/2022,male,20-24,overall,8.8
Johor,Tangkak,1/1/2022,male,25-29,overall,8.1
Johor,Tangkak,1/1/2022,male,30-34,overall,7.4
Johor,Tangkak,1/1/2022,male,35-39,overall,7.1
Johor,Tangkak,1/1/2022,male,40-44,overall,6.1
Johor,Tangkak,1/1/2022,male,45-49,overall,5.2
Johor,Tangkak,1/1/2022,male,50-54,overall,4.6
Johor,Tangkak,1/1/2022,male,55-59,overall,4.2
Johor,Tangkak,1/1/2022,male,60-64,overall,3.5
Johor,Tangkak,1/1/2022,male,65-69,overall,2.3
Johor,Tangkak,1/1/2022,male,70-74,overall,1.4
Johor,Tangkak,1/1/2022,male,75-79,overall,0.8
Johor,Tangkak,1/1/2022,male,80-84,overall,0.4
Johor,Tangkak,1/1/2022,male,85+,overall,0.5
Kedah,Baling,1/1/2022,female,0-4,overall,6.3
Kedah,Baling,1/1/2022,female,5-9,overall,6.4
Kedah,Baling,1/1/2022,female,10-14,overall,6.1
Kedah,Baling,1/1/2022,female,15-19,overall,5.8
Kedah,Baling,1/1/2022,female,20-24,overall,6.5
Kedah,Baling,1/1/2022,female,25-29,overall,6.4
Kedah,Baling,1/1/2022,female,30-34,overall,5.1
Kedah,Baling,1/1/2022,female,35-39,overall,4.5
Kedah,Baling,1/1/2022,female,40-44,overall,3.9
Kedah,Baling,1/1/2022,female,45-49,overall,3.6
Kedah,Baling,1/1/2022,female,50-54,overall,3.7
Kedah,Baling,1/1/2022,female,55-59,overall,3.4
Kedah,Baling,1/1/2022,female,60-64,overall,3
Kedah,Baling,1/1/2022,female,65-69,overall,2.4
Kedah,Baling,1/1/2022,female,70-74,overall,1.7
Kedah,Baling,1/1/2022,female,75-79,overall,1.1
Kedah,Baling,1/1/2022,female,80-84,overall,0.6
Kedah,Baling,1/1/2022,female,85+,overall,0.3
Kedah,Baling,1/1/2022,male,0-4,overall,6.8
Kedah,Baling,1/1/2022,male,5-9,overall,6.8
Kedah,Baling,1/1/2022,male,10-14,overall,6.5
Kedah,Baling,1/1/2022,male,15-19,overall,6.4
Kedah,Baling,1/1/2022,male,20-24,overall,7.7
Kedah,Baling,1/1/2022,male,25-29,overall,7.4
Kedah,Baling,1/1/2022,male,30-34,overall,5.7
Kedah,Baling,1/1/2022,male,35-39,overall,4.6
Kedah,Baling,1/1/2022,male,40-44,overall,4
Kedah,Baling,1/1/2022,male,45-49,overall,3.7
Kedah,Baling,1/1/2022,male,50-54,overall,3.4
Kedah,Baling,1/1/2022,male,55-59,overall,3.3
Kedah,Baling,1/1/2022,male,60-64,overall,2.8
Kedah,Baling,1/1/2022,male,65-69,overall,2.1
Kedah,Baling,1/1/2022,male,70-74,overall,1.5
Kedah,Baling,1/1/2022,male,75-79,overall,0.9
Kedah,Baling,1/1/2022,male,80-84,overall,0.5
Kedah,Baling,1/1/2022,male,85+,overall,0.3
Kedah,Bandar Baharu,1/1/2022,female,0-4,overall,1.8
Kedah,Bandar Baharu,1/1/2022,female,5-9,overall,1.9
Kedah,Bandar Baharu,1/1/2022,female,10-14,overall,1.9
Kedah,Bandar Baharu,1/1/2022,female,15-19,overall,1.8
Kedah,Bandar Baharu,1/1/2022,female,20-24,overall,2
Kedah,Bandar Baharu,1/1/2022,female,25-29,overall,2
Kedah,Bandar Baharu,1/1/2022,female,30-34,overall,1.6
Kedah,Bandar Baharu,1/1/2022,female,35-39,overall,1.4
Kedah,Bandar Baharu,1/1/2022,female,40-44,overall,1.2
Kedah,Bandar Baharu,1/1/2022,female,45-49,overall,1.1
Kedah,Bandar Baharu,1/1/2022,female,50-54,overall,1.2
Kedah,Bandar Baharu,1/1/2022,female,55-59,overall,1.1
Kedah,Bandar Baharu,1/1/2022,female,60-64,overall,1
Kedah,Bandar Baharu,1/1/2022,female,65-69,overall,0.8
Kedah,Bandar Baharu,1/1/2022,female,70-74,overall,0.6
Kedah,Bandar Baharu,1/1/2022,female,75-79,overall,0.3
Kedah,Bandar Baharu,1/1/2022,female,80-84,overall,0.2
Kedah,Bandar Baharu,1/1/2022,female,85+,overall,0.1
Kedah,Bandar Baharu,1/1/2022,male,0-4,overall,1.9
Kedah,Bandar Baharu,1/1/2022,male,5-9,overall,2
Kedah,Bandar Baharu,1/1/2022,male,10-14,overall,2
